Feature,Mutual_Info_Score
RARS2 (57038),0.09653981358811325
SFPQ (6421),0.09644061288900341
SPICE1 (152185),0.09638669660880872
KCNE5 (23630),0.09638326744132142
STIM1 (6786),0.09632333190606746
MYDGF (56005),0.09594342111019838
TLR10 (81793),0.09592817610510274
LRFN3 (79414),0.09591345096240778
FBXL6 (26233),0.09584708626405591
RPS3 (6188),0.09581110216410282
SMARCC1 (6599),0.095687471593362
C5orf34 (375444),0.09563730983632057
LY6G6C (80740),0.0953410243746311
SLC2A5 (6518),0.09517368786611113
ESRP2 (80004),0.09516225989501237
TEN1-CDK3 (100529145),0.09510771862479883
ZNF749 (388567),0.09510474339743213
PSMC2 (5701),0.09495496628356959
NOP56 (10528),0.09481724310589934
UQCRH (7388),0.09479048042983473
VPS45 (11311),0.09469986225552374
