Feature,Mutual_Info_Score
SGK2 (10110),0.07631172043405243
SULT1A4 (445329),0.07605814401097755
TBC1D4 (9882),0.07599930126540366
LRP5 (4041),0.07578145121589586
PLXNA2 (5362),0.07573725270066589
TMEM171 (134285),0.0757320848434504
TMEM255B (348013),0.07570747928982113
ABLIM1 (3983),0.07568065167817828
ZNF215 (7762),0.0755154356291925
ZNF711 (7552),0.07542144836992293
KIFC3 (3801),0.07541612584978852
EBF3 (253738),0.07530984586511913
CSAG1 (158511),0.0752664651651056
COL1A1 (1277),0.07512550359710923
TRIM31 (11074),0.07490037890901391
EPHA1 (2041),0.0747392866256682
TNF (7124),0.07464277624620497
TEAD2 (8463),0.07452628134002781
SAMD12 (401474),0.07418466965855197
AHNAK2 (113146),0.07403162912010375
GPC1 (2817),0.0739514211085126
